Blekinge	 Karlskrona	 Karlskrona	 Blekingesjukhuset	 Apoteket Eken	 Grupp 7 (Vårdapoteket i Norden)
Västmanland	 Skinnskatteberg	 Skinnskatteberg	 Kyrkvägen 1	 Apoteket Svanen	 Grupp 1 (Apotek Hjärtat)
Västmanland	 Norberg	 Norberg	 Engelbrektsgatan 50	 Apoteket Kronan	 Småföretagare
Västmanland	 Köping	 Köping	 Glasgatan 3	 Apoteket Scheele	 Grupp 2 (Kronans Droghandel)
Västmanland	 Köping	 Köping	 Lasarettet	 Apoteket Tärnan	 Kvar i Apoteket AB
Västmanland	 Köping	 Kolsva	 Vårdcentralen	 Apoteket Myran	 Grupp 2 (Kronans Droghandel)
Västmanland	 Arboga	 Arboga	 Ahllövsgatan 18-20	 Apoteket Örnen	 Grupp 1 (Apotek Hjärtat)
Västmanland	 Kungsör	 Kungsör	 Torsgatan 12A	 Apoteket Kronan	 Kvar i Apoteket AB
Västmanland	 Hallstahammar	 Hallstahammar	 Hammartorget 10	 Apoteket Hästen	 Grupp 1 (Apotek Hjärtat)
Västmanland	 Västerås	 Västerås	 Vildrosgatan 2	 Apoteket Önsta-Gryta	 Grupp 2 (Kronans Droghandel)
Västmanland	 Västerås	 Västerås	 Glasvingegatan 5	 Apoteket Hälla	 Kvar i Apoteket AB
Västmanland	 Västerås	 Västerås	 Löpkranegatan 3	 Apoteket Erikslund	 Grupp 2 (Kronans Droghandel)
Västmanland	 Västerås	 Västerås	 Varuhuset Punkt Stora gatan 7-21	 Apoteket Shop Västerås	 Kvar i Apoteket AB
Västra Götaland	 Mark	 Skene	 Varbergsvägen 71	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Lidköping	 Lidköping	 Nya Stadens torg 10	 Apoteket Lejonet	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Skara	 Skara	 Malmgatan 36	 Apoteket Vipan	 Småföretagare
Västra Götaland	 Skara	 Skara	 Järnvägsgatan 14	 Apoteket Kronan	 Kvar i Apoteket AB
Västra Götaland	 Götene	 Götene	 Doktorsvägen 3	 Apoteket Aspen	 Småföretagare
Västra Götaland	 Vara	 Vara	 Vårdcentralen Allégatan 46	 Apoteket Lejonet	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Essunga	 Nossebro	 Vårdcentralen Ängsgatan 2	 Apoteket Misteln	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Vara	 Kvänum	 Sveagatan 2	 Apoteket Blåklockan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Grästorp	 Grästorp	 Vårdcentrum Jon jespersgatan 30	 Apoteket Kvarnen	 Kvar i Apoteket AB
Västra Götaland	 Mariestad	 Mariestad	 Lockerudsvägen 12	 Apoteket Eken	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Mariestad	 Mariestad	 Österlånggatan 15	 Apoteket Lejonet	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Gullspång	 Hova	 Roslunds väg 5	 Apoteket Phoenix	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Gullspång	 Gullspång	 Vårdcentralen Hemgatan 12	 Apoteket Laxen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Töreboda	 Töreboda	 Norra Torggatan 7	 Apoteket Kronan	 Kvar i Apoteket AB
Västra Götaland	 Skövde	 Skövde	 Kärnsjukhuset	 Apoteket Kärnan	 Kvar i Apoteket AB
Västra Götaland	 Skövde	 Skövde	 Ekängsvägen 15	 Apoteket Tranan	 Kvar i Apoteket AB
Västra Götaland	 Tibro	 Tibro	 Centrumgatan 15	 Apoteket Svanen	 Kvar i Apoteket AB
Västra Götaland	 Hjo	 Hjo	 Bangatan 13	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Karlsborg	 Karlsborg	 Kungsgatan 14	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Skövde	 Skövde	 Långgatan 15	 Apoteket Lejonet	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Falköping	 Falköping	 Storgatan 2	 Apoteket Kronan	 Kvar i Apoteket AB
Västra Götaland	 Falköping	 Falköping	 Danska Vägen 62	 Apoteket Mösseberg	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Falköping	 Floby	 Storgatan 53	 Apoteket Enen	 Kvar i Apoteket AB
Västra Götaland	 Falköping	 Stenstorp	 Storgatan 14A	 Apoteket Fyren	 Kvar i Apoteket AB
Västra Götaland	 Tidaholm	 Tidaholm	 Torggatan 1	 Apoteket Örnen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Lidköping	 Lidköping	 Östbygatan 21	 Apoteket Guldvingen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Mark	 Sätila	 Björlandavägen 3	 Apoteket Lärkan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Borås	 Borås	 Allégatan 43	 Apoteket Kronan	 Grupp 4 (Medstop)
Västra Götaland	 Borås	 Borås	 Brämhultsvägen 53	 Apoteket Juwelen	 Kvar i Apoteket AB
Västra Götaland	 Uddevalla	 Uddevalla	 Västerlånggatan 2	 Apoteket Lejonet	 Grupp 4 (Medstop)
Västra Götaland	 Uddevalla	 Ljungkile	 Vällebergsvägen 12	 Apoteket Viken	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Uddevalla	 Uddevalla	 Lövskogsgatan 7	 Apoteket Ugglan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Uddevalla	 Uddevalla	 Torp Köpcentrum	 Apoteket Måsen	 Kvar i Apoteket AB
Västra Götaland	 Uddevalla	 Uddevalla	 Uddevalla Sjukhus Fjällvägen 9	 Apoteket Korpen	 Kvar i Apoteket AB
Västra Götaland	 Strömstad	 Strömstad	 Södra Hamngatan 4	 Apoteket Snäckan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Tanum	 Tanumshede	 Affärsvägen 1	 Apoteket Kronan	 Småföretagare
Västra Götaland	 Lysekil	 Lysekil	 Kungsgatan 33-35	 Apoteket Kronan	 Kvar i Apoteket AB
Västra Götaland	 Lysekil	 Brastad	 Läkarvägen 4	 Apoteket Runan	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Sotenäs	 Kungshamn	 Hvitfeldtsgatan 25	 Apoteket Räkan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Sotenäs	 Hunnebostrand	 Skolgatan 1	 Apoteket Tärnan	 Kvar i Apoteket AB
Västra Götaland	 Orust	 Henån	 Centrumhuset	 Apoteket Kompassen	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Orust	 Ellös	 Ravinvägen 3	 Apoteket Ankaret	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Munkedal	 Munkedal	 Forum 4	 Apoteket Laxen	 Kvar i Apoteket AB
Västra Götaland	 Tanum	 Fjällbacka	 Nestorsvägen 9	 Apoteket Sälen	 Småföretagare
Västra Götaland	 Orust	 Svanesund	 VC Eklunden	 Apoteket Ejdern	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Alingsås	 Alingsås	 Kungsgatan 29Affärshuset Storken	 Apoteket Hjorten	 Kvar i Apoteket AB
Västra Götaland	 Alingsås	 Alingsås	 Säterigatan 122 Noltorps VC	 Apoteket Noltorp	 Kvar i Apoteket AB
Västra Götaland	 Alingsås	 Alingsås	 Alingsås Lasarett	 Apoteket Sörhaga	 Grupp 7 (Vårdapoteket i Norden)
Västra Götaland	 Bengtsfors	 Bengtsfors	 Storgatan 7	 Apoteket Örnen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Bollebygd	 Bollebygd	 Vårdcentralen	 Apoteket Linden	 Kvar i Apoteket AB
Västra Götaland	 Borås	 Borås	 Trandareds VC Kindsgatan 1	 Apoteket Biet	 Kvar i Apoteket AB
Västra Götaland	 Borås	 Borås	 Skaraborgsvägen 35	 Apoteket Bävern	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Borås	 Borås	 Boda Vårdcentral	 Apoteket Humlan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Borås	 Borås	 Sjöbo Torg	 Apoteket Uttern	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Vänersborg	 Brålanda	 Törnrosgatan 14	 Apoteket Tjuren	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Borås	 Dalsjöfors	 Vårdcentralen Uppegårdsgatan 2	 Apoteket Vipan	 Småföretagare
Västra Götaland	 Ulricehamn	 Dalum	 Vårdcentralen Dalatorget	 Apoteket Gullvivan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Dals-Ed	 Ed	 Magasinsgatan 10	 Apoteket Korpen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Lerum	 Floda	 Rurik Holms väg 10	 Apoteket Orren	 Kvar i Apoteket AB
Västra Götaland	 Borås	 Fristad	 Tärnavägen 6	 Apoteket Tranan	 Småföretagare
Västra Götaland	 Färgelanda	 Färgelanda	 Centrumvägen 10	 Apoteket Bävern	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Lerum	 Gråbo	 Lundbyvägen 35-37	 Apoteket	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Herrljunga	 Herrljunga	 Horsbyvägen 16	 Apoteket Stjärnan	 Kvar i Apoteket AB
Västra Götaland	 Mark	 Kinna	 Klockaregatan 3	 Apoteket Örnen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Lerum	 Lerum	 Göteborgsvägen 9	 Apoteket Eken	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Lilla Edet	 Lilla Edet	 Järnvägsgatan 10	 Apoteket Hjorten	 Kvar i Apoteket AB
Västra Götaland	 Mellerud	 Mellerud	 Norra Kungsgatan 1	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Ale	 Nödinge	 Ale torg 7	 Apoteket Alen	 Grupp 4 (Medstop)
Västra Götaland	 Borås	 Sandared	 Strandvägen 11	 Apoteket Rosen	 Kvar i Apoteket AB
Västra Götaland	 Alingsås	 Sollebrunn	 Gästgivaregatan 3	 Apoteket Rönnen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Svenljunga	 Svenljunga	 Torggatan 1	 Apoteket Svalan	 Småföretagare
Västra Götaland	 Tranemo	 Tranemo	 Storgatan 40	 Apoteket Tranan	 Kvar i Apoteket AB
Västra Götaland	 Trollhättan	 Trollhättan	 Norra Älvsborgs Länssjukhus	 Apoteket Björnen	 Kvar i Apoteket AB
Västra Götaland	 Trollhättan	 Trollhättan	 Granngårdens Centrum Lantmannavägen 92	 Apoteket Sländan	 Grupp 4 (Medstop)
Västra Götaland	 Trollhättan	 Trollhättan	 Kungsgatan 32	 Apoteket Svanen	 Kvar i Apoteket AB
Västra Götaland	 Ulricehamn	 Ulricehamn	 Storgatan 1	 Apoteket Kronan	 Kvar i Apoteket AB
Västra Götaland	 Vänersborg	 Vargön	 Nordkroksvägen 3	 Apoteket Älgen	 Kvar i Apoteket AB
Västra Götaland	 Borås	 Viskafors	 Hagkällevägen 2	 Apoteket Sländan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Vårgårda	 Vårgårda	 Centrumgatan 2	 Apoteket Axet	 Småföretagare
Västra Götaland	 Vänersborg	 Vänersborg	 Sundsgatan 8A	 Apoteket Tranan	 Kvar i Apoteket AB
Västra Götaland	 Vänersborg	 Vänersborg	 Torpavägen 23	 Apoteket Lärkan	 Småföretagare
Västra Götaland	 Åmål	 Åmål	 Mellanbrogatan 3	 Apoteket Lejonet	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Ale	 Älvängen	 Torggatan 1	 Apoteket Skeppet	 Kvar i Apoteket AB
Västra Götaland	 Öckerö	 Öckerö	 Norgårdsvägen 10	 Apoteket Kaprifolen	 Småföretagare
Västra Götaland	 Partille	 Sävedalen	 Vallhamra Torg 5	 Apoteket Tallen	 Småföretagare
Västra Götaland	 Härryda	 Mölnlycke	 Biblioteksgatan 4A	 Apoteket Ugglan	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Angered	 Angereds Torg 7	 Apoteket Ormen	 Grupp 4 (Medstop)
Västra Götaland	 Mölndal	 Lindome	 Almåsgången 7	 Apoteket Almen	 Kvar i Apoteket AB
Västra Götaland	 Mölndal	 Mölndal	 Mölndals Torg 4	 Apoteket Strömstaren	 Grupp 4 (Medstop)
Västra Götaland	 Mölndal	 Mölndal	 Mölndals Sjukhus	 Apoteket Kråkan	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Angered	 Bergsgårdsgärdet 89B	 Apoteket Atomen	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Stabbegatan 2	 Apoteket Björken	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Göteborg	 Munkebäcks torg 7	 Apoteket Trasten	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Rymdtorget 9	 Apoteket Gripen	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Göteborg	 Hundraårsgatan 32	 Apoteket Ekorren	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Göteborg	 Treriksgatan 2	 Apoteket Måsen	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Göteborg	 Östra Sjukhuset	 Apoteket Smörblomman	 Kvar i Apoteket AB
Västra Götaland	 Partille	 Partille	 Gamla Kronvägen 54	 Apoteket Enen	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Göteborg	 Redbergsvägen 4	 Apoteket Korpen	 Kvar i Apoteket AB
Västra Götaland	 Härryda	 Landvetter	 Centrumhuset	 Apoteket Blåvingen	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Göteborg	 Götgatan 12	 Apoteket Vasen	 Grupp 8 (Apotek Hjärtat)
Västra Götaland	 Göteborg	 Göteborg	 Linnégatan 16	 Apoteket Svanen	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Göteborg	 Mariaplan 4	 Apoteket Najaden	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Göteborg	 Amund Grefwegatan 5	 Apoteket Duvan	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Dr Fries Torg	 Apoteket Ärlan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Göteborg	 Göteborg	 Engelbrektsgatan 34C	 Apoteket Biet	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Göteborg	 Eklandagatan 76	 Apoteket Svalan	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Vita Stråket 13	 Apoteket Hajen	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Göteborg	 Göteborg	 Karl Johansgatan 72	 Apoteket Hjorten	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Kungsportsplatsen	 Apoteket Kronan	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Göteborg	 Gamla Flygplatsvägen 40	 Apoteket Viggen	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Göteborg	 Göteborg	 Tuve torg 9	 Apoteket Stenbocken	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Höstvädersgatan 1	 Apoteket Tumlaren	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Västra Frölunda	 Frölunda Torg	 Apoteket Vågen	 Grupp 8 (Apotek Hjärtat)
Västra Götaland	 Göteborg	 Västra Frölunda	 Frölunda Torg	 Apoteket Shop Västra Frölunda	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Västra Frölunda	 Långedragsvägen 134	 Apoteket Vipan	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Markmyntsgatan 4	 Apoteket Älvan	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Göteborg	 Askim	 Sisjö Centrum	 Apoteket Lärkan	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Göteborg	 Kolhamnsgatan 1	 Apoteket Sälen	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Hisings Backa	 Selma Lagerlöfs Torg 1	 Apoteket Stora Björn	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Hisings Kärra	 Kärraplatsen 16	 Apoteket Kärra	 Småföretagare
Västra Götaland	 Tjörn	 Kållekärr	 Sundsbyvägen 1	 Apoteket Fyren	 Småföretagare
Västra Götaland	 Kungälv	 Kungälv	 Uddevallavägen 3	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Kungälv	 Kungälv	 Kungälvs sjukhus	 Apoteket Magnolian	 Kvar i Apoteket AB
Västra Götaland	 Kungälv	 Kungälv	 Nordmannatorget	 Apoteket Nordmannatorget	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Kungälv	 Ytterby	 Lekmannagatan 2	 Apoteket Ytterby	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Wieselgrensplatsen 5	 Apoteket Nordstjärnan	 Grupp 4 (Medstop)
Västra Götaland	 Stenungsund	 Stenungsund	 Västra Köpmansgatan 35	 Apoteket Skeppet	 Grupp 4 (Medstop)
Västra Götaland	 Göteborg	 Västra Frölunda	 Opalgatan 79	 Apoteket Ejdern	 Småföretagare
Västra Götaland	 Mölndal	 Kållered	 Gamla Riksvägen 44	 Apoteket Pionen	 Kvar i Apoteket AB
Västra Götaland	 Lidköping	 Lidköping	 Framnäsvägen 1	 Apoteket Näckrosen	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Göteborg	 Centralhuset Nils Ericsonsplatsen 1-8	 Apoteket Shop Nils Ericsonplatsen	 Kvar i Apoteket AB
Västra Götaland	 Strömstad	 Nordby	 Nordby Köpcenter Västra	 Apoteket Shop Nordby	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Trollhättan	 Trollhättan	 SIBA-huset Överby	 Apoteket Överby	 Småföretagare
Västra Götaland	 Göteborg	 Göteborg	 Åvägen 42 Gårda Affärscentrum	 Apoteket Strutsen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Kungälv	 Marstrand	 Återvändsgatan 4	 Apoteket Marstrand	 Grupp 2 (Kronans Droghandel)
Västra Götaland	 Borås	 Borås	 Stora Brogatan 7	 Apoteket Shop Borås	 Kvar i Apoteket AB
Västra Götaland	 Partille	 Partille	 Allum 324 Nils Henrikssons väg 3	 Apoteket Shop Partille	 Kvar i Apoteket AB
Västra Götaland	 Göteborg	 Göteborg	 Korsgatan 24	 Apoteket Shop Korsgatan	 Kvar i Apoteket AB
Västra Götaland	 Skövde	 Skövde	 Köpmannagatan 3	 Apoteket Konvaljen	 Grupp 1 (Apotek Hjärtat)
Västra Götaland	 Strömstad	 Strömstad	 Nordby shoppingcenter, 452 92 STRÖMSTAD	 Apoteket Pärlan	 Grupp 2 (Kronans Droghandel)
Örebro	 Örebro	 Örebro	 Drottninggatan 29	 Apoteket Hjorten	 Grupp 3 (Medstop)
Örebro	 Kumla	 Kumla	 Köpmangatan 13-17	 Apoteket Kronan	 Grupp 3 (Medstop)
Örebro	 Örebro	 Örebro	 Lindhultsvägen 2	 Apoteket Adolfsbergs VC	 Småföretagare
Örebro	 Lekeberg	 Fjugesta	 Storgatan 21B	 Apoteket Kronan	 Småföretagare
Örebro	 Örebro	 Odensbacken	 Valstavägen 1	 Apoteket Svanen	 Kvar i Apoteket AB
Örebro	 Hallsberg	 Pålsboda	 Köpmangatan 4	 Apoteket Älgen	 Grupp 2 (Kronans Droghandel)
Örebro	 Örebro	 Örebro	 Universitetssjukhuset	 Apoteket Universitetssjukhuset EA	 Kvar i Apoteket AB
Örebro	 Örebro	 Örebro	 Ringgatan 15	 Apoteket Älgen	 Kvar i Apoteket AB
Örebro	 Örebro	 Örebro	 Haga Centrum	 Apoteket Humlan	 Småföretagare
Örebro	 Askersund	 Askersund	 Sundsbrogatan 12	 Apoteket Vasen	 Småföretagare
Örebro	 Hallsberg	 Hallsberg	 Östra Storgatan 1	 Apoteket Rallaren	 Grupp 2 (Kronans Droghandel)
Örebro	 Karlskoga	 Karlskoga	 Lasarettet Degerforsvägen	 Apoteket Lärkan	 Kvar i Apoteket AB
Örebro	 Karlskoga	 Karlskoga	 Österleden 10	 Apoteket Vargen	 Grupp 2 (Kronans Droghandel)
Örebro	 Karlskoga	 Karlskoga	 vid Torget	 Apoteket Örnen	 Grupp 1 (Apotek Hjärtat)
Örebro	 Degerfors	 Degerfors	 Medborgargatan 10	 Apoteket Vågen	 Kvar i Apoteket AB
Örebro	 Laxå	 Laxå	 Postgatan 21	 Apoteket Laxen	 Grupp 1 (Apotek Hjärtat)
Örebro	 Lindesberg	 Lindesberg	 Kungsgatan 37	 Apoteket Lejonet	 Grupp 1 (Apotek Hjärtat)
Örebro	 Lindesberg	 Lindesberg	 Lindesbergs lasarett	 Apoteket Lokatten	 Kvar i Apoteket AB
Örebro	 Lindesberg	 Fellingsbro	 Bergsvägen 24	 Apoteket Svanen	 Grupp 2 (Kronans Droghandel)
Örebro	 Lindesberg	 Frövi	 Järnvägsgatan 6B	 Apoteket Svalan	 Grupp 2 (Kronans Droghandel)
Örebro	 Hällefors	 Hällefors	 Stationsvägen 1	 Apoteket Bävern	 Småföretagare
Örebro	 Nora	 Nora	 Prästgatan 8B	 Apoteket Kronan	 Småföretagare
Örebro	 Ljusnarsberg	 Kopparberg	 Konstmästaregatan 9	 Apoteket Misteln	 Grupp 2 (Kronans Droghandel)
Örebro	 Örebro	 Örebro	 Ribbingsgatan 6-8	 Apoteket Olaus Petri VC	 Grupp 1 (Apotek Hjärtat)
Örebro	 Örebro	 Örebro	 Sörbyängsvägen 4	 Apoteket Tybble VC	 Kvar i Apoteket AB
Örebro	 Örebro	 Örebro	 Mariebergs Centrum Varuvägen 10	 Apoteket Marieberg	 Kvar i Apoteket AB
Örebro	 Lindesberg	 Storå	 Kopparbergsvägen 17	 Apoteket Storå VC	 Grupp 1 (Apotek Hjärtat)
Örebro	 Örebro	 Örebro	 Drottninggatan 23	 Apoteket Shop Drottninggatan	 Kvar i Apoteket AB
Örebro	 Örebro	 Örebro	 Olaigatan 15	 Apoteket Falken	 Grupp 1 (Apotek Hjärtat)
Örebro	 Örebro	 Örebro	 Boglundsgatan 2	 Apoteket Hinden	 Småföretagare
Östergötland	 Linköping	 Linköping	 Stora Torget 9	 Apoteket Wasen	 Småföretagare
Östergötland	 Linköping	 Linköping	 Nya Tanneforsvägen 60	 Apoteket Gyllene Axet	 Småföretagare
Östergötland	 Linköping	 Linköping	 Skäggetorps Centrum	 Apoteket Ärlan	 Grupp 2 (Kronans Droghandel)
Östergötland	 Linköping	 Linköping	 Universitetssjukhuset	 Apoteket J J Berzelius EA	 Grupp 6 (Vårdapoteket i Norden)
Östergötland	 Linköping	 Linköping	 Ekholmen Centrum	 Apoteket Viggen	 Kvar i Apoteket AB
Östergötland	 Linköping	 Linköping	 Ryds centrum	 Apoteket Malmen	 Grupp 2 (Kronans Droghandel)
Östergötland	 Linköping	 Linköping	 Skogslyckegatan 7	 Apoteket Lärkan	 Grupp 2 (Kronans Droghandel)
Östergötland	 Linköping	 Linköping	 Berga Centrum	 Apoteket Eken	 Småföretagare
Östergötland	 Linköping	 Linköping	 Repslagaregatan 25	 Apoteket Kronan	 Kvar i Apoteket AB
Östergötland	 Linköping	 Ljungsbro	 Evastigen 9	 Apoteket Svalan	 Småföretagare
Östergötland	 Kinda	 Kisa	 Stora Torget 2	 Apoteket Gripen	 Småföretagare
Östergötland	 Motala	 Motala	 Kungsgatan 4D	 Apoteket Kronan	 Kvar i Apoteket AB
Östergötland	 Motala	 Motala	 Lasarettsgatan 37	 Apoteket Ekorren	 Grupp 6 (Vårdapoteket i Norden)
Östergötland	 Motala	 Motala	 Mariebergsgatan 2A	 Apoteket Marieberg	 Kvar i Apoteket AB
Östergötland	 Motala	 Borensberg	 Hamnvägen 3	 Apoteket Vågen	 Grupp 2 (Kronans Droghandel)
Östergötland	 Vadstena	 Vadstena	 Rådhustorget 7	 Apoteket Örnen	 Kvar i Apoteket AB
Östergötland	 Mjölby	 Mjölby	 Galleria Kvarnen	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Boxholm	 Boxholm	 Storgatan 12	 Apoteket Svanen	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Mjölby	 Skänninge	 Östra Kyrkogatan 5	 Apoteket Kronan	 Kvar i Apoteket AB
Östergötland	 Åtvidaberg	 Åtvidaberg	 Adelsvärdsgatan 4A	 Apoteket Kopparormen	 Småföretagare
Östergötland	 Ödeshög	 Ödeshög	 Skolgatan 3	 Apoteket Kronan	 Kvar i Apoteket AB
Östergötland	 Linköping	 Linköping	 Kärnabrunnsgatan 10	 Apoteket Humlan	 Kvar i Apoteket AB
Östergötland	 Mjölby	 Mantorp	 Häradsvägen 18	 Apoteket Hästhoven	 Grupp 2 (Kronans Droghandel)
Östergötland	 Ydre	 Österbymo	 Ydregatan 13	 Apoteket Räven	 Kvar i Apoteket AB
Östergötland	 Norrköping	 Norrköping	 Gamla Övägen 25	 Apoteket Vrinnevisjukhuset EA	 Kvar i Apoteket AB
Östergötland	 Norrköping	 Kolmården	 Munkvägen 13	 Apoteket Eken	 Småföretagare
Östergötland	 Norrköping	 Norrköping	 Slåttergatan 100	 Apoteket Vesslan	 Grupp 2 (Kronans Droghandel)
Östergötland	 Norrköping	 Åby	 Nyköpingsvägen 21	 Apoteket Mården	 Småföretagare
Östergötland	 Norrköping	 Vikbolandet	 Bygdevägen 13	 Apoteket Vikbolandet	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Norrköping	 Norrköping	 Drottninggatan 56	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Norrköping	 Skärblacka	 Bergslagsvägen 34	 Apoteket Svanen	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Norrköping	 Norrköping	 Kungsgatan 36	 Apoteket Östgöta Lejon	 Småföretagare
Östergötland	 Norrköping	 Norrköping	 Hantverkaregatan 24	 Apoteket Hjorten	 Kvar i Apoteket AB
Östergötland	 Norrköping	 Norrköping	 Vilbergen Centrum	 Apoteket Fasanen	 Kvar i Apoteket AB
Östergötland	 Norrköping	 Norrköping	 Kneipgatan 4	 Apoteket Ripan	 Småföretagare
Östergötland	 Norrköping	 Norrköping	 Hageby Centrum Timmermansgatan 54	 Apoteket Hägern	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Finspång	 Finspång	 Bergslagsvägen 9	 Bruksapoteket	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Finspång	 Finspång	 Lasarettet	 Apoteket Vallonen	 Kvar i Apoteket AB
Östergötland	 Söderköping	 Söderköping	 Hagatorget 1	 Apoteket Kronan	 Småföretagare
Östergötland	 Valdemarsvik	 Valdemarsvik	 Storgatan 17	 Apoteket Kronan	 Småföretagare
Östergötland	 Linköping	 Linköping	 Tröskaregatan 28	 Apoteket Lambohov	 Kvar i Apoteket AB
Östergötland	 Linköping	 Linköping	 IKANO-huset Svedengatan	 Apoteket Tornugglan	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Linköping	 Linghem	 Himnavägen 153	 Apoteket Lingonet	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Linköping	 Linköping	 Westmansgatan 25	 Apoteket Kastanjen	 Grupp 1 (Apotek Hjärtat)
Östergötland	 Linköping	 Linköping	 Tanneforsgatan 1	 Apoteket Shop Linköping	 Kvar i Apoteket AB
Östergötland	 Norrköping	 Norrköping	 Hageby Centrum	 Apoteket Delfinen	 Grupp 2 (Kronans Droghandel)
Östergötland	 Norrköping	 Norrköping	 Järngatan 6	 Apoteket Hermelinen	 Grupp 2 (Kronans Droghandel)
